SaleID,price
200000,1575.49
200001,658.5
200002,7400.59
200003,960.73
200004,42.82666020884275
200005,1663.09
200006,1328.745
200007,2984.29
200008,9001.0
200009,757.26
200010,754.7505
200011,2227.0666666666666
200012,6062.26
200013,7805.513333333333
200014,43.60684944117449
200015,41.36938710055609
200016,1439.66
200017,7731.58
200018,6886.37
200019,1565.2013333333334
200020,20959.06
200021,7657.04
200022,2147.6
200023,41.79387850812211
200024,821.0
200025,8985.323277777778
200026,824.29
200027,13326.42
200028,4529.2
200029,6598.381666666666
200030,18146.25
200031,9810.8
200032,1003.29
200033,10622.785
200034,1242.74
200035,2270.42
200036,13643.21
200037,5624.57
200038,840.4866666666667
200039,560.5191666666667
200040,43.96617202446542
200041,26727.22
200042,1100.38
200043,7002.4
200044,18243.91
200045,1173.1509722387034
200046,18661.07
200047,18056.23
200048,1916.67
200049,45.257763776347254
200050,562.1
200051,4732.93
200052,1744.5958333333335
200053,42.36412723016011
200054,12939.61
200055,11151.1
200056,8986.6
200057,3741.67
200058,942.82
200059,4705.3
200060,8594.065952380952
200061,1085.89
200062,4093.82
200063,9496.98
200064,1344.85
200065,2055.28
200066,496.87
200067,8893.766666666665
200068,425.55
200069,18246.846666666665
200070,8361.2
200071,40.54112287499844
200072,6081.13
200073,20806.42
200074,5301.275
200075,16589.531666666666
200076,7412.233333333334
200077,15.412795653617025
200078,898.38
200079,44.40780095901667
200080,3428.72
200081,1990.81
200082,4106.06
200083,969.915
200084,2606.15
200085,2868.99
200086,6577.85
200087,3245.93
200088,2952.05
200089,41400.0
200090,2393.1203333333333
200091,38.14877154978803
200092,2520.33
200093,17066.48
200094,7245.28
200095,45.157214753835376
200096,2779.53
200097,1488.33
200098,463.41
200099,29335.5
200100,21734.45
200101,7347.34
200102,1875.9
200103,10158.89
200104,4191.944166666666
200105,3293.75
200106,9518.24
200107,-1.6033220258437648
200108,15132.19
200109,8882.91
200110,479.5749285714286
200111,1552.69
200112,2211.25
200113,1170.08
200114,1886.495
